"actions";"أفعال "
"date creation";"تاريخ الانشاء"
"date update";"تاريخ التحديث "
"delete";"حذف "
"edit";"تعديل "
"email";"البريد الالكتروني "
"emails :\u000A\u000A\"#0#\"\u000A\u000A will be deleted. Confirm ?";"رسائل البريد الالكتروني ستحذف تأكد "
"export CSV";"تصدير الملف "
"export PDF";"تصدير "
"filter";"تصفية "
"from";"من"
"id";"اتباث الهوية "
"init";"أولي "
"new";"جديد "
"new customer newsletter";"نشرة عميل جديد"
"no result";"دون نتيجة "
"one result";"نتيجة واحدة "
"order_asc";"ترتيب تصاعدي "
"order_desc";"ترتيب عكسي "
"results";"نتاتج "
"to";"الى "
