"payment";"paiement"
"Payment";"Paiement"
"Your shopping cart - Payment";"Votre panier - Paiement"
"order";"commander"
"Order";"Commander"
"next";"suivant"
"previous";"précédent"
"Payment methods";"Méthodes de paiement"
"our payment methods.";"nos méthodes de paiement."
"You must agree to the terms of service before continuing.";"Vous devez accepter les conditions générales de vente pour passer à l\'étape suivante."
"Confirm your order";"Confirmez votre commande"
"Your shopping cart is empty.";"Votre panier est vide."
