"Good Morning";"Bonjour"
"How are you";"Comment allez vous"
"How are you %d";"Comment allez vous %d"
"Beautiful Page";"Ma Belle Page"
"How are you %d %d";"Comment vas tu %d %d"
"cancel";"Annuler"
"save";"Sauvegarder"
"site_YES";"Site ouvert"
"site_NO";"Site fermé"
"type_CMS";"CMS"
"type_ECOM";"ECommerce"
"key1,key2...";"mot cle1, mot clé2"
"too much characters {value}";"trop de caractères {value}"
"@ is missing in your email";"Le signe @ est manquant dans l'email"
"error Delete";"Effacement impossible"
"Sites List";"Liste des sites"
"site list";"liste des sites"
"Dashboard";"Bureau"
"sites manager";"administration des sites"
"themes";"thèmes"
"users";"utilisateurs"
"preferences";"préférences"
"groups";"groupes"
"CMS";"système de contenus"
"ECOM";"ECommerce"
"status_YES";"ouvert"
"status_NO";"fermé"
"state_0";"non"
"state_1";"oui"
"host is required";"le domaine du site est requis"
"Site [%s] has been deleted";"Le site [%s] a été supprimé"
"Sites :\u000A\u000A""#0#""\u000A\u000A will be deleted. Confirm ?";"Les sites :\u000A\u000A""#0#""\u000A\u000A vont être supprimés. Confirmez vous ?"
"The site #0# will be deleted. Confirm ?";"Le site #0# va être supprimé. Confirmez vous ?"
