"user lastname";"nom de l'utilisateur"
"user firstname";"prénom de l'utilisateur"
"user";"utilisateur"
"user mobile";"portable de l'utilisateur"
"user phone";"téléphone de l'utilisateur"
"user courtesy";"courtoisie de l'utilisateur"
"user gender";"genre de l'utilisateur"
"customer name";"client"
"customer firstname";"prénom du client"
"customer lastname";"nom du client"
"customer mobile";"portable du client"
"customer phone";"téléphone du client"
"customer courtesy";"courtoisie du client"
"customer gender";"genre du client"
"customer address";"adresse du client"
"meeting remarks";"Rendez vous: Remarques"
"see with";"vu avec"
"user";"utilisateur"
