"module_users_guard";"gardien des accès"
"The session has expired";"La session a expirée"
"Groups";"Groupes"
"Users Administration";"Administration des utilisateurs"
"Permissions added on group [%s].";"Les permissions ont été ajouté dans le groupe [%s]."
"New permission";"Nouvelle permission"
"Permissions groups";"groupes de permissions"
"Import";"Importer"
"Init";"Vider les filtres"
"Filter";"Afficher"
"Cancel";"Annuler"
"Save";"Enregistrer"
"Add permission group";"Ajouter un groupe de permissions"
"name";"nom"
"group permissions";"Groupes de permissions"
"New permissions group";"Nouveau groupe de permissions"
"Permissions group has been deleted.";"Le groupe de permissions a été supprimé."
"[{value}] already exists.";"[{value}] existe déjà."
"This [{value}] already exists in this form.";"[{value}] existe déjà dans ce formulaire."
"Group";"Groupe"
"Updated at";"Mis à jour le"
"Created at";"Créé le"
"Groups have been saved.";"Les groupes ont été enregistrés"
"Permission [%s] has been saved.";"La permission [%s] a été enregistrée."
"Date update";"Date de mise à jour"
"Date creation";"Date de création"
"State";"Etat"
"Add permission";"Ajouter des permissions"
"Delete";"Supprimer"
"Permissions for group";"Permissions pour le groupe"
"Not defined";"Non affecté"
"Name";"Nom"
"last connexion";"dernière connexion"
"first connexion";"première connexion"
"Download model";"Télécharger le modèle"
"no result";"Aucun résultat"
