"month_january";"janvier"
"month_february";"février"
"month_march";"mars"
"month_april";"avril"
"month_may";"mai"
"month_june";"juin"
"month_july";"juillet"
"month_august";"août"
"month_september";"septembre"
"month_october";"octobre"
"month_november";"novembre"
"month_december";"décembre"
"day_su";"dim"
"day_mo";"lun"
"day_tu";"mar"
"day_we";"mer"
"day_th";"jeu"
"day_fr";"ven"
"day_sa";"sam"
"day_sunday";"dimanche"
"day_monday";"lundi"
"day_tuesday";"mardi"
"day_wednesday";"mercredi"
"day_thursday";"jeudi"
"day_friday";"vendredi"
"day_saturday";"samedi"
"day_short_su";"d"
"day_short_mo";"l"
"day_short_tu";"m"
"day_short_we";"m"
"day_short_th";"j"
"day_short_fr";"v"
"day_short_sa";"s"
"day-ranking-st";"{day}er"
"day-ranking-nd";"{day}nd"
"day-ranking-rd";"{day}ème"
"day-ranking-th";"{day}ème"
